Quartier,Surface,Chambres,AnneeConstruction,DistanceCentreVille,QualiteQuartier,Adresse,Prix
Elhouda,174.91,4,2001,3045.02,2,"20 Rue C, Béni Mellal",245023.0
Taqaddom,290.14,4,1991,4260.18,4,"44 Rue D, Fes",321516.0
Almassira1,246.4,4,1998,581.9,5,"69 Rue B, Rabat",129535.0
Elkasba,219.73,3,2011,4109.8,2,"78 Rue D, Agadir",309495.0
Elkasba,131.2,4,1994,4761.03,8,"77 Rue A, Tanger",325335.0
RiadSalam,131.2,2,2001,644.29,1,"91 Rue C, Fes",122967.0
Elhouda,111.62,4,1990,705.11,3,"5 Rue C, Marrakech",130789.0
Elhouda,273.24,2,2011,2050.31,7,"12 Rue D, Agadir",205805.0
Sisalem,220.22,4,2008,894.96,1,"48 Rue D, Tanger",148496.0
Taqaddom,,4,2005,,2,"28 Rue E, Tanger",237351.0
Taqaddom,104.12,2,2020,3779.2,3,"23 Rue A, Tanger",275548.0
Elhouda,293.98,4,1992,3051.05,2,"5 Rue B, Béni Mellal",259805.0
Elkasba,266.49,4,2012,1383.94,2,"57 Rue E, Béni Mellal",178727.0
Elkasba,142.47,4,2007,3446.65,6,"62 Rue E, Agadir",264885.0
Taqaddom,136.36,3,2015,3581.85,7,"25 Rue C, Marrakech",270530.0
Elkasba,136.68,2,2002,4696.01,6,"94 Rue E, Tanger",328657.0
Sisalem,160.85,4,2007,1160.59,6,"42 Rue B, Béni Mellal",152822.0
Elkasba,204.95,2,1992,3615.51,9,"67 Rue F, Agadir",275053.0
Alatlas,186.39,2,2012,4601.42,8,"27 Rue F, Béni Mellal",
Almassira1,158.25,2,1992,,8,"59 Rue D, Fes",230909.0
Taqaddom,222.37,4,2014,2128.1,6,"67 Rue A, Béni Mellal",207256.0
RiadSalam,,4,2016,1268.37,5,"40 Rue A, Fes",148989.0
Sisalem,158.43,2,2016,4400.54,9,"77 Rue A, Tanger",316659.0
Haycharaf,173.27,3,2014,2274.11,2,"60 Rue A, Béni Mellal",205343.0
Almassira1,191.21,2,2013,,7,"67 Rue F, Fes",333607.0
RiadSalam,,3,1997,4314.91,6,"40 Rue A, Rabat",322560.0
Elkasba,139.93,2,1998,2194.88,7,"98 Rue C, Fes",
Haycharaf,202.85,2,2019,,4,"27 Rue C, Agadir",257422.0
Elhouda,,2,2008,622.28,9,"25 Rue C, Tanger",131387.0
Elhouda,109.29,4,2005,,7,"69 Rue C, Marrakech",178222.0
Sisalem,,3,2013,3696.23,2,"86 Rue A, Tanger",288446.0
Elhouda,134.1,3,2010,3550.6,4,"20 Rue B, Tanger",266148.0
Haycharaf,113.01,2,1995,2090.16,5,"15 Rue A, Rabat",
Haycharaf,289.78,4,1994,4138.74,2,"72 Rue E, Béni Mellal",318100.0
Almassira1,293.13,4,2003,1561.26,8,"27 Rue E, Tanger",181623.0
Taqaddom,261.68,3,1993,2575.72,1,"71 Rue C, Tanger",233475.0
Alatlas,160.92,4,1997,2626.39,3,"19 Rue F, Tanger",223945.0
Elhouda,119.53,3,2013,2033.68,1,"74 Rue B, Agadir",
Sisalem,236.85,3,2000,4796.0,5,"10 Rue C, Rabat",341595.0
Elhouda,188.03,3,2006,3635.08,8,"44 Rue E, Marrakech",286176.0
Almassira1,124.41,4,2010,2926.4,7,"7 Rue B, Béni Mellal",240951.0
Haycharaf,199.04,3,2015,2797.32,9,"61 Rue F, Béni Mellal",235954.0
Elkasba,106.88,3,2016,1216.83,2,"14 Rue D, Béni Mellal",152072.0
Elhouda,281.86,2,2005,2174.84,8,"12 Rue D, Marrakech",209321.0
Taqaddom,151.76,3,2015,3527.48,8,"23 Rue F, Rabat",264553.0
Elkasba,232.5,3,2022,4660.57,6,"76 Rue F, Fes",
Almassira1,162.34,2,2020,4174.09,3,"90 Rue D, Rabat",306600.0
Elhouda,204.01,2,1995,1851.75,2,"46 Rue C, Tanger",195721.0
Elkasba,209.34,4,1997,2452.8,8,"26 Rue F, Fes",
Elhouda,136.97,3,1996,873.13,6,"69 Rue A, Marrakech",136428.0
Sisalem,293.92,4,2003,959.78,4,"73 Rue B, Béni Mellal",154125.0
Almassira1,255.03,4,2005,2616.04,5,"90 Rue D, Béni Mellal",236168.0
Alatlas,287.9,2,1998,2885.99,5,"59 Rue C, Fes",246923.0
Haycharaf,278.97,4,1999,1688.12,9,"83 Rue F, Marrakech",188268.0
RiadSalam,219.58,3,2006,3392.52,9,"61 Rue B, Agadir",266818.0
Haycharaf,284.37,2,2001,3665.21,8,"19 Rue E, Tanger",287911.0
Haycharaf,117.7,3,1995,1846.02,8,"47 Rue D, Agadir",181205.0
Elkasba,139.2,3,2008,3912.91,2,"90 Rue F, Tanger",286501.0
Almassira1,109.05,2,2018,1425.22,3,"42 Rue D, Marrakech",160216.0
Elhouda,165.07,3,1995,2949.13,8,"4 Rue A, Marrakech",243430.0
RiadSalam,177.74,2,2014,4119.26,5,"15 Rue C, Marrakech",306767.0
Elkasba,154.27,3,2013,2916.54,7,"60 Rue B, Tanger",241731.0
RiadSalam,265.75,2,2014,4585.83,8,"99 Rue C, Rabat",332639.0
Alatlas,171.35,4,2005,763.26,6,"74 Rue B, Rabat",135779.0
Sisalem,156.19,3,2005,3147.41,5,"14 Rue D, Fes",252493.0
Almassira1,208.54,2,1995,3027.9,8,"14 Rue C, Rabat",251061.0
Elkasba,128.18,3,2010,3471.59,1,"84 Rue A, Tanger",265781.0
Haycharaf,260.44,3,1993,4250.33,1,"69 Rue D, Marrakech",321188.0
Taqaddom,114.91,3,2017,3766.34,1,"76 Rue D, Agadir",279970.0
Elkasba,297.38,2,2017,4056.27,3,"80 Rue B, Rabat",308914.0
Taqaddom,254.45,4,2006,1799.68,6,"21 Rue D, Marrakech",191473.0
Haycharaf,139.74,4,2003,2243.74,6,"9 Rue C, Agadir",208268.0
Sisalem,101.1,4,1996,3320.5,5,"89 Rue E, Marrakech",252035.0
Almassira1,263.09,2,2011,2990.58,7,"56 Rue E, Tanger",
Elhouda,241.37,4,1990,4824.97,5,"70 Rue F, Agadir",337452.0
Elkasba,245.8,2,2018,1340.76,2,"23 Rue F, Fes",
Haycharaf,254.25,3,2020,2080.75,4,"10 Rue F, Fes",210597.0
Elkasba,114.81,3,2019,3077.4,1,"74 Rue D, Béni Mellal",243979.0
Alatlas,171.69,4,2004,4405.84,7,"76 Rue E, Marrakech",314383.0
Sisalem,123.17,2,2007,4682.07,4,"42 Rue E, Béni Mellal",
Alatlas,272.62,3,2019,2012.16,4,"57 Rue B, Tanger",211787.0
RiadSalam,224.66,2,2000,801.99,4,"52 Rue A, Rabat",138868.0
Almassira1,166.18,2,2016,2397.29,3,"14 Rue F, Rabat",217542.0
RiadSalam,112.71,3,2013,2274.55,8,"99 Rue D, Tanger",208015.0
Elkasba,162.2,2,1997,4939.19,4,"64 Rue F, Fes",343636.0
Almassira1,165.04,3,2007,2439.78,8,"8 Rue A, Agadir",217971.0
Sisalem,245.92,3,2002,1875.75,9,"18 Rue E, Fes",195566.0
Sisalem,227.51,3,2013,2144.2,1,"1 Rue B, Fes",209375.0
Haycharaf,277.44,2,2012,2286.17,4,"20 Rue D, Rabat",
Elkasba,194.44,3,2001,4196.93,6,"38 Rue D, Rabat",311993.0
RiadSalam,123.92,2,2019,864.57,8,"74 Rue D, Agadir",130611.0
Alatlas,242.65,3,2020,1924.28,6,"27 Rue F, Tanger",196922.0
Elhouda,252.16,3,2017,4848.43,6,"39 Rue E, Fes",345369.0
Taqaddom,212.26,4,2011,1188.96,4,"39 Rue D, Fes",156575.0
Elhouda,254.19,4,2017,3841.71,9,"45 Rue A, Rabat",293088.0
RiadSalam,198.76,4,2002,2103.77,7,"2 Rue E, Rabat",208115.0
RiadSalam,204.55,2,2014,3118.03,6,"52 Rue B, Tanger",260750.0
Sisalem,185.51,2,1996,947.97,1,"8 Rue C, Rabat",148820.0
Elhouda,105.08,3,1995,1878.85,2,"7 Rue A, Fes",186091.0
Sisalem,121.58,3,2013,2753.89,6,"72 Rue C, Béni Mellal",237135.0
Sisalem,106.29,3,2008,1542.65,1,"37 Rue A, Agadir",
Alatlas,227.28,3,2008,2938.41,5,"56 Rue F, Rabat",247144.0
Almassira1,162.87,2,1998,1488.92,1,"51 Rue F, Tanger",169298.0
Taqaddom,201.71,3,2018,3425.45,3,"92 Rue D, Marrakech",274869.0
Elhouda,281.51,3,2013,4569.59,7,"49 Rue D, Rabat",336728.0
Almassira1,149.86,4,1994,884.7,5,"28 Rue F, Agadir",143295.0
Haycharaf,182.08,3,2015,1474.77,1,"61 Rue B, Agadir",171257.0
Elhouda,251.11,3,2003,4299.9,1,"72 Rue D, Tanger",313554.0
Almassira1,145.76,3,2018,3341.99,8,"54 Rue B, Tanger",259603.0
Sisalem,115.4,2,1995,854.19,9,"86 Rue B, Agadir",136610.0
RiadSalam,157.95,4,1996,2688.58,7,"2 Rue A, Fes",227731.0
Alatlas,132.24,3,2007,1443.91,3,"3 Rue B, Fes",165098.0
Taqaddom,285.94,3,2012,1395.93,6,"63 Rue F, Marrakech",177336.0
Almassira1,261.62,4,1990,4732.9,3,"18 Rue A, Agadir",345745.0
RiadSalam,226.68,3,1993,3926.94,4,"83 Rue D, Marrakech",299592.0
Elhouda,274.29,2,2012,3633.04,4,"90 Rue E, Marrakech",289258.0
Almassira1,260.73,3,2016,1575.18,3,"80 Rue B, Marrakech",
Elkasba,137.31,2,2015,1033.58,6,"66 Rue D, Rabat",142634.0
RiadSalam,278.51,2,1997,4418.75,5,"58 Rue D, Tanger",327051.0
Haycharaf,207.87,3,2005,526.46,9,"29 Rue B, Marrakech",132494.0
RiadSalam,261.49,4,1992,2246.43,9,"78 Rue A, Rabat",217905.0
Taqaddom,279.22,2,2021,1749.26,3,"64 Rue F, Agadir",192119.0
Haycharaf,163.6,4,1994,3066.69,9,"92 Rue E, Tanger",247393.0
Alatlas,122.01,3,2009,1627.29,3,"53 Rue E, Rabat",177396.0
Taqaddom,145.59,2,2003,1900.42,4,"47 Rue A, Béni Mellal",187037.0
Elhouda,185.42,3,2021,4325.18,1,"73 Rue D, Fes",313519.0
Haycharaf,263.6,4,2015,3214.35,5,"48 Rue A, Rabat",262246.0
Almassira1,272.15,3,1995,1155.57,9,"62 Rue F, Béni Mellal",161973.0
Elkasba,101.39,3,1994,3769.12,2,"19 Rue F, Fes",279145.0
Taqaddom,202.15,2,2002,1433.57,4,"68 Rue C, Marrakech",
Elkasba,183.48,3,2021,2448.52,2,"67 Rue A, Rabat",220238.0
Elhouda,144.42,3,2005,3409.73,8,"79 Rue A, Agadir",260910.0
Elhouda,123.97,3,1990,1723.68,9,"61 Rue F, Fes",176005.0
Alatlas,167.52,2,2002,2228.48,3,"85 Rue F, Béni Mellal",213317.0
Elhouda,288.58,4,2000,3803.67,9,"88 Rue F, Rabat",296584.0
RiadSalam,164.64,4,1997,4720.6,6,"75 Rue C, Rabat",332496.0
RiadSalam,203.76,3,2014,2881.6,6,"7 Rue C, Rabat",
Alatlas,240.6,2,2021,544.87,7,"2 Rue D, Marrakech",130433.0
RiadSalam,172.73,3,2013,2023.09,5,"66 Rue D, Rabat",196943.0
Almassira1,294.36,4,2017,2293.85,6,"94 Rue C, Marrakech",225846.0
Sisalem,292.49,2,2003,2026.28,1,"46 Rue C, Tanger",211156.0
Elkasba,150.36,4,1992,2463.21,3,"22 Rue A, Fes",220378.0
