Surface,Chambres,AnneeConstruction,DistanceCentreVille,QualiteQuartier,Prix
174.91,4,2001,3045.02,2,345023.0
290.14,4,1991,4260.18,4,421516.0
246.4,4,1998,581.9,5,229535.0
219.73,3,2011,4109.8,2,409495.0
131.2,4,1994,4761.03,8,425335.0
131.2,2,2001,644.29,1,222967.0
111.62,4,1990,705.11,3,230789.0
273.24,2,2011,2050.31,7,305805.0
220.22,4,2008,894.96,1,248496.0
199.36381486676018,4,2005,2739.0172430374673,2,337351.0
104.12,2,2020,3779.2,3,375548.0
293.98,4,1992,3051.05,2,359805.0
266.49,4,2012,1383.94,2,278727.0
142.47,4,2007,3446.65,6,364885.0
136.36,3,2015,3581.85,7,370530.0
136.68,2,2002,4696.01,6,428657.0
160.85,4,2007,1160.59,6,252822.0
204.95,2,1992,3615.51,9,375053.0
186.39,2,2012,4601.42,8,336256.6726666667
158.25,2,1992,2739.0172430374673,8,330909.0
222.37,4,2014,2128.1,6,307256.0
199.36381486676018,4,2016,1268.37,5,248989.0
158.43,2,2016,4400.54,9,416659.0
173.27,3,2014,2274.11,2,305343.0
191.21,2,2013,2739.0172430374673,7,433607.0
199.36381486676018,3,1997,4314.91,6,422560.0
139.93,2,1998,2194.88,7,336256.6726666667
202.85,2,2019,2739.0172430374673,4,357422.0
199.36381486676018,2,2008,622.28,9,231387.0
109.29,4,2005,2739.0172430374673,7,278222.0
199.36381486676018,3,2013,3696.23,2,388446.0
134.1,3,2010,3550.6,4,366148.0
113.01,2,1995,2090.16,5,336256.6726666667
289.78,4,1994,4138.74,2,418100.0
293.13,4,2003,1561.26,8,281623.0
261.68,3,1993,2575.72,1,333475.0
160.92,4,1997,2626.39,3,323945.0
119.53,3,2013,2033.68,1,336256.6726666667
236.85,3,2000,4796.0,5,441595.0
188.03,3,2006,3635.08,8,386176.0
124.41,4,2010,2926.4,7,340951.0
199.04,3,2015,2797.32,9,335954.0
106.88,3,2016,1216.83,2,252072.0
281.86,2,2005,2174.84,8,309321.0
151.76,3,2015,3527.48,8,364553.0
232.5,3,2022,4660.57,6,336256.6726666667
162.34,2,2020,4174.09,3,406600.0
204.01,2,1995,1851.75,2,295721.0
209.34,4,1997,2452.8,8,336256.6726666667
136.97,3,1996,873.13,6,236428.0
293.92,4,2003,959.78,4,254125.0
255.03,4,2005,2616.04,5,336168.0
287.9,2,1998,2885.99,5,346923.0
278.97,4,1999,1688.12,9,288268.0
219.58,3,2006,3392.52,9,366818.0
284.37,2,2001,3665.21,8,387911.0
117.7,3,1995,1846.02,8,281205.0
139.2,3,2008,3912.91,2,386501.0
109.05,2,2018,1425.22,3,260216.0
165.07,3,1995,2949.13,8,343430.0
177.74,2,2014,4119.26,5,406767.0
154.27,3,2013,2916.54,7,341731.0
265.75,2,2014,4585.83,8,432639.0
171.35,4,2005,763.26,6,235779.0
156.19,3,2005,3147.41,5,352493.0
208.54,2,1995,3027.9,8,351061.0
128.18,3,2010,3471.59,1,365781.0
260.44,3,1993,4250.33,1,421188.0
114.91,3,2017,3766.34,1,379970.0
297.38,2,2017,4056.27,3,408914.0
254.45,4,2006,1799.68,6,291473.0
139.74,4,2003,2243.74,6,308268.0
101.1,4,1996,3320.5,5,352035.0
263.09,2,2011,2990.58,7,336256.6726666667
241.37,4,1990,4824.97,5,437452.0
245.8,2,2018,1340.76,2,336256.6726666667
254.25,3,2020,2080.75,4,310597.0
114.81,3,2019,3077.4,1,343979.0
171.69,4,2004,4405.84,7,414383.0
123.17,2,2007,4682.07,4,336256.6726666667
272.62,3,2019,2012.16,4,311787.0
224.66,2,2000,801.99,4,238868.0
166.18,2,2016,2397.29,3,317542.0
112.71,3,2013,2274.55,8,308015.0
162.2,2,1997,4939.19,4,443636.0
165.04,3,2007,2439.78,8,317971.0
245.92,3,2002,1875.75,9,295566.0
227.51,3,2013,2144.2,1,309375.0
277.44,2,2012,2286.17,4,336256.6726666667
194.44,3,2001,4196.93,6,411993.0
123.92,2,2019,864.57,8,230611.0
242.65,3,2020,1924.28,6,296922.0
252.16,3,2017,4848.43,6,445369.0
212.26,4,2011,1188.96,4,256575.0
254.19,4,2017,3841.71,9,393088.0
198.76,4,2002,2103.77,7,308115.0
204.55,2,2014,3118.03,6,360750.0
185.51,2,1996,947.97,1,248820.0
105.08,3,1995,1878.85,2,286091.0
121.58,3,2013,2753.89,6,337135.0
106.29,3,2008,1542.65,1,336256.6726666667
227.28,3,2008,2938.41,5,347144.0
162.87,2,1998,1488.92,1,269298.0
201.71,3,2018,3425.45,3,374869.0
281.51,3,2013,4569.59,7,436728.0
149.86,4,1994,884.7,5,243295.0
182.08,3,2015,1474.77,1,271257.0
251.11,3,2003,4299.9,1,413554.0
145.76,3,2018,3341.99,8,359603.0
115.4,2,1995,854.19,9,236610.0
157.95,4,1996,2688.58,7,327731.0
132.24,3,2007,1443.91,3,265098.0
285.94,3,2012,1395.93,6,277336.0
261.62,4,1990,4732.9,3,445745.0
226.68,3,1993,3926.94,4,399592.0
274.29,2,2012,3633.04,4,389258.0
260.73,3,2016,1575.18,3,336256.6726666667
137.31,2,2015,1033.58,6,242634.0
278.51,2,1997,4418.75,5,427051.0
207.87,3,2005,526.46,9,232494.0
261.49,4,1992,2246.43,9,317905.0
279.22,2,2021,1749.26,3,292119.0
163.6,4,1994,3066.69,9,347393.0
122.01,3,2009,1627.29,3,277396.0
145.59,2,2003,1900.42,4,287037.0
185.42,3,2021,4325.18,1,413519.0
263.6,4,2015,3214.35,5,362246.0
